No.,Time,Source,Destination,Protocol,Length,Info,Label,Dst_Port,Service_Name,Risk_Level,Risk_Score,Is_High_Risk,Time_Diff,Bytes_Per_Sec
51310,342.899589,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,5.499999997482519e-05,483870.96782052494
51313,342.907453,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.007863999999983662,9417.37820192791
51324,342.908599,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0011460000000056425,60192.61637211907
51325,342.910567,10.5.1.26,212.156.182.77,QUIC,81,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.0019680000000334985,39168.27852934619
51354,342.916544,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.005976999999973032,12341.615928967061
51355,342.916636,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,9.1999999995096e-05,390625.0000099772
51380,342.925232,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.008596000000011372,8624.65501378817
51381,342.925343,10.5.1.26,212.156.182.77,QUIC,75,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.00011100000000396903,355450.2369601384
51382,342.925424,10.5.1.26,212.156.182.77,QUIC,74,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,8.100000002286833e-05,408839.7789538703
51395,342.933941,10.5.1.26,212.156.182.77,QUIC,74,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.008516999999983454,8587.675525141243
51396,342.934163,10.5.1.26,212.156.182.77,QUIC,74,"Protected Payload (KP0), DCID=f55108845a555030",0,443,HTTPS,Dusuk,10.0,0,0.00022200000000793807,229813.66459060783
