"No.","Time","Source","Destination","Protocol","Length","Info"
"1122","20.193295","104.18.41.41","10.5.1.26","TCP","54","443  >  21898 [ACK] Seq=4480 Ack=10994 Win=467 Len=0"
"1123","20.223530","199.165.136.100","10.5.1.26","TCP","54","443  >  49806 [ACK] Seq=583 Ack=2433 Win=123 Len=0"
"1124","20.230181","199.165.136.100","10.5.1.26","TLSv1.2","151","Application Data"
"1125","20.271266","10.5.1.26","199.165.136.100","TCP","54","49806  >  443 [ACK] Seq=2433 Ack=680 Win=251 Len=0"
"1155","21.494369","52.146.136.33","10.5.1.26","TLSv1.2","81","Application Data"
"1156","21.516817","10.5.1.26","172.217.22.234","TCP","55","18812  >  443 [ACK] Seq=1 Ack=1 Win=250 Len=1"
"1157","21.543554","172.217.22.234","10.5.1.26","TCP","66","443  >  18812 [ACK] Seq=1 Ack=2 Win=1049 Len=0 SLE=1 SRE=2"
"1158","21.548244","10.5.1.26","52.146.136.33","TCP","54","36534  >  443 [ACK] Seq=1967 Ack=1724 Win=253 Len=0"
"1188","21.859535","10.5.1.26","104.18.41.41","TCP","55","54405  >  443 [ACK] Seq=1 Ack=1 Win=253 Len=1"
"1189","21.874634","104.18.41.41","10.5.1.26","TCP","66","443  >  54405 [ACK] Seq=1 Ack=2 Win=16 Len=0 SLE=1 SRE=2"
"1194","22.117079","10.5.3.252","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"1196","22.324332","10.5.3.252","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"1197","22.324332","10.5.3.251","255.255.255.255","MNDP","189","5678  >  5678 Len=147"
"1198","22.529106","10.5.0.172","239.255.255.250","SSDP","320","NOTIFY * HTTP/1.1 "
"1199","22.642711","104.18.41.41","10.5.1.26","TLSv1.2","703","Application Data"
"1200","22.656068","10.5.1.26","104.18.41.41","TLSv1.2","89","Application Data"
"1201","22.727907","104.18.41.41","10.5.1.26","TCP","54","443  >  21898 [ACK] Seq=5129 Ack=11029 Win=467 Len=0"
"1202","22.831809","192.200.0.105","10.5.1.26","TLSv1.2","223","Application Data"
"1203","22.887082","10.5.1.26","192.200.0.105","TCP","54","51031  >  443 [ACK] Seq=2 Ack=170 Win=251 Len=0"
"1204","22.973142","10.5.1.26","199.165.136.100","TLSv1.2","567","Application Data"
"1205","23.011400","10.5.1.26","92.38.180.109","TCP","55","[TCP Keep-Alive] 49790  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"1206","23.021825","92.38.180.109","10.5.1.26","TCP","66","[TCP Keep-Alive ACK] 443  >  49790 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"1208","23.119161","199.165.136.100","10.5.1.26","TCP","54","443  >  49806 [ACK] Seq=680 Ack=2946 Win=123 Len=0"
"1209","23.245723","0.0.0.0","255.255.255.255","DHCP","370","DHCP Request  - Transaction ID 0x1f249cbc"
"1210","23.245723","10.5.0.1","255.255.255.255","DHCP","342","DHCP ACK      - Transaction ID 0x1f249cbc"
"1212","23.348238","10.5.0.172","239.255.255.250","SSDP","372","NOTIFY * HTTP/1.1 "
"1215","24.166735","10.5.0.172","239.255.255.250","SSDP","386","NOTIFY * HTTP/1.1 "
"1216","24.308353","199.165.136.100","10.5.1.26","TLSv1.2","151","Application Data"
"1217","24.309002","10.5.1.26","199.165.136.100","TLSv1.2","375","Application Data"
"1218","24.311913","10.5.1.26","142.251.38.227","TCP","55","1176  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1 [TCP PDU reassembled in 1992]"
"1219","24.339412","142.251.38.227","10.5.1.26","TCP","66","443  >  1176 [ACK] Seq=1 Ack=2 Win=1049 Len=0 SLE=1 SRE=2"
"1220","24.363548","10.5.3.247","255.255.255.255","MNDP","189","5678  >  5678 Len=147"
"1221","24.363548","10.5.0.11","255.255.255.255","MNDP","209","5678  >  5678 Len=167"
"1222","24.437636","10.5.1.26","81.19.104.213","TLSv1.2","1350","Application Data"
"1223","24.454203","199.165.136.100","10.5.1.26","TCP","54","443  >  49806 [ACK] Seq=777 Ack=3267 Win=123 Len=0"
"1224","24.488272","81.19.104.213","10.5.1.26","TLSv1.2","109","Application Data"
"1225","24.493576","81.19.104.213","10.5.1.26","TLSv1.2","1422","Application Data"
"1226","24.493691","10.5.1.26","81.19.104.213","TCP","54","59421  >  443 [ACK] Seq=23216 Ack=29586 Win=65535 Len=0"
"1227","24.501358","199.165.136.100","10.5.1.26","TLSv1.2","151","Application Data"
"1228","24.545030","10.5.1.26","199.165.136.100","TCP","54","49806  >  443 [ACK] Seq=3267 Ack=874 Win=251 Len=0"
"1229","24.983177","10.5.1.26","52.146.136.33","TLSv1.2","85","Application Data"
"1230","24.984017","10.5.0.172","239.255.255.250","SSDP","384","NOTIFY * HTTP/1.1 "
"1231","25.101256","52.146.136.33","10.5.1.26","TCP","54","443  >  36534 [ACK] Seq=1724 Ack=1998 Win=4324 Len=0"
"1232","25.703447","10.5.3.250","255.255.255.255","MNDP","189","5678  >  5678 Len=147"
"1233","25.804883","10.5.0.172","239.255.255.250","SSDP","329","NOTIFY * HTTP/1.1 "
"1234","26.568753","10.5.1.26","140.82.112.26","TCP","55","52924  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1 [TCP PDU reassembled in 1721]"
"1235","26.623828","10.5.0.123","255.255.255.255","MNDP","189","5678  >  5678 Len=147"
"1236","26.623828","10.5.3.248","255.255.255.255","MNDP","189","5678  >  5678 Len=147"
"1237","26.739102","108.132.175.237","10.5.1.26","TLSv1.2","100","Application Data"
"1238","26.739102","140.82.112.26","10.5.1.26","TCP","66","443  >  52924 [ACK] Seq=1 Ack=2 Win=71 Len=0 SLE=1 SRE=2"
"1239","26.784677","10.5.1.26","108.132.175.237","TCP","54","27640  >  443 [ACK] Seq=1 Ack=94 Win=254 Len=0"
"1240","26.862008","10.5.1.26","52.146.136.33","TLSv1.2","82","Application Data"
"1241","26.944527","52.146.136.33","10.5.1.26","TCP","54","443  >  36534 [ACK] Seq=1724 Ack=2026 Win=4324 Len=0"
"1242","26.958439","10.5.1.26","52.146.136.33","TLSv1.2","768","Application Data"
"1243","27.177604","52.146.136.33","10.5.1.26","TCP","54","443  >  36534 [ACK] Seq=1724 Ack=2740 Win=4346 Len=0"
"1244","27.177604","52.146.136.33","10.5.1.26","TLSv1.2","88","Application Data"
"1245","27.218862","10.5.1.26","52.146.136.33","TCP","54","36534  >  443 [ACK] Seq=2740 Ack=1758 Win=253 Len=0"
"1246","27.239240","52.146.136.33","10.5.1.26","TLSv1.2","388","Application Data"
"1247","27.280779","10.5.1.26","52.146.136.33","TCP","54","36534  >  443 [ACK] Seq=2740 Ack=2092 Win=252 Len=0"
"1248","27.337680","52.146.136.33","10.5.1.26","TLSv1.2","695","Application Data"
"1249","27.340771","10.5.1.26","52.146.136.33","TLSv1.2","509","Application Data"
"1250","27.346618","10.5.1.26","52.146.136.33","TLSv1.2","1341","Application Data"
"1251","27.423195","52.146.136.33","10.5.1.26","TLSv1.2","88","Application Data"
"1252","27.423195","52.146.136.33","10.5.1.26","TLSv1.2","88","Application Data"
"1253","27.423318","10.5.1.26","52.146.136.33","TCP","54","36534  >  443 [ACK] Seq=4482 Ack=2801 Win=255 Len=0"
"1254","27.531107","52.146.136.33","10.5.1.26","TLSv1.2","438","Application Data"
"1255","27.573173","10.5.1.26","52.146.136.33","TCP","54","36534  >  443 [ACK] Seq=4482 Ack=3185 Win=254 Len=0"
"1256","27.603831","172.217.22.234","10.5.1.26","TLSv1.2","335","Application Data"
"1257","27.620211","10.5.1.26","172.217.22.234","TLSv1.2","89","Application Data"
"1258","27.620366","10.5.1.26","172.217.22.234","TLSv1.2","89","Application Data"
"1259","27.647698","172.217.22.234","10.5.1.26","TCP","54","443  >  46126 [ACK] Seq=687 Ack=176 Win=618 Len=0"
"1260","27.647698","172.217.22.234","10.5.1.26","TCP","54","443  >  46126 [ACK] Seq=687 Ack=211 Win=618 Len=0"
"1261","28.160044","10.5.0.177","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"1262","28.683068","10.5.1.26","160.79.104.10","TLSv1.2","1506","Ignored Unknown Record"
"1263","28.683068","10.5.1.26","160.79.104.10","TLSv1.2","1140","Ignored Unknown Record"
"1264","28.697348","160.79.104.10","10.5.1.26","TCP","54","443  >  21410 [ACK] Seq=1 Ack=1454 Win=1021 Len=0"
"1265","28.697348","160.79.104.10","10.5.1.26","TCP","54","443  >  21410 [ACK] Seq=1 Ack=2540 Win=1021 Len=0"
"1266","28.701720","10.5.1.26","160.79.104.10","TLSv1.2","1506","Application Data"
"1267","28.701720","10.5.1.26","160.79.104.10","TCP","1506","21410  >  443 [ACK] Seq=3992 Ack=1 Win=255 Len=1452 [TCP PDU reassembled in 1274]"
"1268","28.701720","10.5.1.26","160.79.104.10","TCP","1506","21410  >  443 [ACK] Seq=5444 Ack=1 Win=255 Len=1452 [TCP PDU reassembled in 1274]"
"1269","28.701720","10.5.1.26","160.79.104.10","TCP","1506","21410  >  443 [ACK] Seq=6896 Ack=1 Win=255 Len=1452 [TCP PDU reassembled in 1274]"
"1270","28.701720","10.5.1.26","160.79.104.10","TCP","1506","21410  >  443 [ACK] Seq=8348 Ack=1 Win=255 Len=1452 [TCP PDU reassembled in 1274]"
"1271","28.701720","10.5.1.26","160.79.104.10","TCP","1506","21410  >  443 [ACK] Seq=9800 Ack=1 Win=255 Len=1452 [TCP PDU reassembled in 1274]"
"1272","28.701720","10.5.1.26","160.79.104.10","TCP","1506","21410  >  443 [ACK] Seq=11252 Ack=1 Win=255 Len=1452 [TCP PDU reassembled in 1274]"
"1273","28.701720","10.5.1.26","160.79.104.10","TCP","1506","21410  >  443 [ACK] Seq=12704 Ack=1 Win=255 Len=1452 [TCP PDU reassembled in 1274]"
"1274","28.701720","10.5.1.26","160.79.104.10","TLSv1.2","893","Application Data"
"1275","28.715951","160.79.104.10","10.5.1.26","TCP","54","443  >  21410 [ACK] Seq=1 Ack=8348 Win=1023 Len=0"
"1276","28.715951","160.79.104.10","10.5.1.26","TLSv1.2","93","Application Data"
"1277","28.717112","160.79.104.10","10.5.1.26","TCP","54","443  >  21410 [ACK] Seq=40 Ack=14995 Win=1024 Len=0"
"1278","28.770399","10.5.1.26","160.79.104.10","TCP","54","21410  >  443 [ACK] Seq=14995 Ack=40 Win=255 Len=0"
"1280","28.987609","10.5.1.26","199.165.136.100","TLSv1.2","393","Application Data"
"1281","29.131411","199.165.136.100","10.5.1.26","TCP","54","443  >  49806 [ACK] Seq=874 Ack=3606 Win=123 Len=0"
"1282","29.171766","199.165.136.100","10.5.1.26","TLSv1.2","151","Application Data"
"1283","29.175646","10.5.0.177","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"1284","29.219790","10.5.1.26","199.165.136.100","TCP","54","49806  >  443 [ACK] Seq=3606 Ack=971 Win=250 Len=0"
"1285","29.687152","10.5.1.26","52.107.244.40","TLSv1.2","90","Application Data"
"1286","29.731474","10.5.1.26","52.107.244.40","TLSv1.2","90","Application Data"
"1287","29.757350","52.107.244.40","10.5.1.26","TLSv1.2","86","Application Data"
"1288","29.797974","52.107.244.40","10.5.1.26","TLSv1.2","86","Application Data"
"1289","29.807502","10.5.1.26","52.107.244.40","TCP","54","26899  >  443 [ACK] Seq=37 Ack=33 Win=252 Len=0"
"1290","29.837671","10.5.1.26","52.107.244.40","TCP","54","26900  >  443 [ACK] Seq=37 Ack=33 Win=252 Len=0"
"1293","30.005591","10.5.3.249","255.255.255.255","MNDP","208","5678  >  5678 Len=166"
"1295","30.099060","10.5.0.204","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"1296","30.099060","10.5.0.204","239.255.255.250","SSDP","175","M-SEARCH * HTTP/1.1 "
"1298","30.200053","10.5.0.177","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"1299","30.265878","52.146.136.33","10.5.1.26","TLSv1.2","158","Application Data"
"1300","30.320735","10.5.1.26","52.146.136.33","TCP","54","36534  >  443 [ACK] Seq=4482 Ack=3289 Win=253 Len=0"
"1301","30.390743","10.5.1.26","160.79.104.10","TCP","1506","21410  >  443 [ACK] Seq=14995 Ack=40 Win=255 Len=1452 [TCP PDU reassembled in 1302]"
"1302","30.390743","10.5.1.26","160.79.104.10","TLSv1.2","1277","Application Data"
"1303","30.393997","10.5.1.26","160.79.104.10","TCP","1506","21410  >  443 [ACK] Seq=17670 Ack=40 Win=255 Len=1452 [TCP PDU reassembled in 1304]"
"1304","30.393997","10.5.1.26","160.79.104.10","TLSv1.2","1269","Application Data"
"1305","30.404329","160.79.104.10","10.5.1.26","TCP","54","443  >  21410 [ACK] Seq=40 Ack=17670 Win=1025 Len=0"
"1306","30.408767","160.79.104.10","10.5.1.26","TCP","54","443  >  21410 [ACK] Seq=40 Ack=20337 Win=1026 Len=0"
"1307","30.443345","10.5.1.26","81.19.104.213","TLSv1.2","538","Application Data"
"1308","30.493762","81.19.104.213","10.5.1.26","TLSv1.2","109","Application Data"
"1309","30.497290","81.19.104.213","10.5.1.26","TLSv1.2","202","Application Data"
"1310","30.497290","81.19.104.213","10.5.1.26","TLSv1.2","411","Application Data"
"1311","30.497454","10.5.1.26","81.19.104.213","TCP","54","59421  >  443 [ACK] Seq=23700 Ack=30146 Win=64975 Len=0"
"1312","30.537961","10.5.1.26","81.19.104.213","TLSv1.2","259","Application Data"
"1313","30.566399","160.79.104.10","10.5.1.26","TLSv1.2","162","Application Data"
"1314","30.566399","160.79.104.10","10.5.1.26","TLSv1.2","87","Application Data"
"1315","30.566399","160.79.104.10","10.5.1.26","TLSv1.2","85","Application Data"
"1316","30.581412","10.5.1.26","160.79.104.10","TLSv1.2","89","Application Data"
"1317","30.581877","160.79.104.10","10.5.1.26","TLSv1.2","236","Application Data"
"1318","30.581877","160.79.104.10","10.5.1.26","TLSv1.2","971","Application Data"
"1319","30.581877","160.79.104.10","10.5.1.26","TLSv1.2","85","Application Data"
"1320","30.589926","81.19.104.213","10.5.1.26","TLSv1.2","109","Application Data"
"1321","30.589926","81.19.104.213","10.5.1.26","TLSv1.2","321","Application Data"
"1322","30.590071","10.5.1.26","81.19.104.213","TCP","54","59421  >  443 [ACK] Seq=23905 Ack=30468 Win=64653 Len=0"
"1323","30.620276","104.18.41.41","10.5.1.26","TLSv1.2","703","Application Data"
"1324","30.630242","10.5.1.26","160.79.104.10","TCP","54","21410  >  443 [ACK] Seq=20372 Ack=1342 Win=250 Len=0"
"1325","30.630768","10.5.1.26","104.18.41.41","TLSv1.2","89","Application Data"
"1326","30.630944","10.5.1.26","104.18.41.41","TLSv1.2","89","Application Data"
"1327","30.636919","160.79.104.10","10.5.1.26","TCP","54","443  >  21410 [ACK] Seq=1342 Ack=20372 Win=1026 Len=0"
"1328","30.643355","104.18.41.41","10.5.1.26","TCP","54","443  >  21898 [ACK] Seq=5778 Ack=11064 Win=467 Len=0"
"1329","30.643355","104.18.41.41","10.5.1.26","TCP","54","443  >  21898 [ACK] Seq=5778 Ack=11099 Win=467 Len=0"
"1331","31.130272","10.5.0.129","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"1332","31.130272","10.5.0.129","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"1333","31.231691","10.5.0.177","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"1334","31.253395","160.79.104.10","10.5.1.26","TLSv1.2","337","Application Data"
"1335","31.253395","160.79.104.10","10.5.1.26","TLSv1.2","558","Application Data"
"1336","31.253395","160.79.104.10","10.5.1.26","TLSv1.2","432","Application Data"
"1337","31.297902","10.5.1.26","160.79.104.10","TCP","54","21410  >  443 [ACK] Seq=20372 Ack=2507 Win=255 Len=0"
"1338","31.566522","160.79.104.10","10.5.1.26","TLSv1.2","240","Application Data"
"1339","31.609111","10.5.1.26","160.79.104.10","TCP","54","21410  >  443 [ACK] Seq=20372 Ack=2693 Win=255 Len=0"
"1340","31.787123","108.132.175.237","10.5.1.26","TCP","54","[TCP Keep-Alive] 443  >  27640 [ACK] Seq=93 Ack=1 Win=8 Len=0"
"1341","31.787256","10.5.1.26","108.132.175.237","TCP","54","[TCP Keep-Alive ACK] 27640  >  443 [ACK] Seq=1 Ack=94 Win=254 Len=0"
"1342","31.975111","160.79.104.10","10.5.1.26","TLSv1.2","256","Application Data"
"1343","31.975817","10.5.1.26","199.165.136.100","TLSv1.2","375","Application Data"
"1344","32.027858","10.5.1.26","160.79.104.10","TCP","54","21410  >  443 [ACK] Seq=20372 Ack=2895 Win=254 Len=0"
"1346","32.051124","10.5.1.49","239.255.255.250","SSDP","179","M-SEARCH * HTTP/1.1 "
"1347","32.119475","199.165.136.100","10.5.1.26","TCP","54","443  >  49806 [ACK] Seq=971 Ack=3927 Win=123 Len=0"
"1348","32.153854","10.5.3.252","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"1349","32.153854","10.5.0.129","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"1350","32.153854","10.5.0.129","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"1351","32.158742","199.165.136.100","10.5.1.26","TLSv1.2","151","Application Data"
"1352","32.213196","10.5.1.26","199.165.136.100","TCP","54","49806  >  443 [ACK] Seq=3927 Ack=1068 Win=255 Len=0"
"1353","32.255583","10.5.3.252","239.255.255.250","SSDP","178","M-SEARCH * HTTP/1.1 "
"1354","32.299945","160.79.104.10","10.5.1.26","TLSv1.2","225","Application Data"
"1355","32.353723","10.5.1.26","160.79.104.10","TCP","54","21410  >  443 [ACK] Seq=20372 Ack=3066 Win=253 Len=0"
"1357","32.651758","172.217.22.234","10.5.1.26","TLSv1.2","178","Application Data"
"1358","32.663643","10.5.1.26","172.217.22.234","TLSv1.2","89","Application Data"
"1359","32.663754","10.5.1.26","172.217.22.234","TLSv1.2","89","Application Data"
"1360","32.668807","160.79.104.10","10.5.1.26","TLSv1.2","237","Application Data"
"1361","32.685076","172.217.22.234","10.5.1.26","TCP","54","443  >  46126 [ACK] Seq=811 Ack=246 Win=618 Len=0"
"1362","32.685076","172.217.22.234","10.5.1.26","TCP","54","443  >  46126 [ACK] Seq=811 Ack=281 Win=618 Len=0"
"1363","32.709979","10.5.1.26","160.79.104.10","TCP","54","21410  >  443 [ACK] Seq=20372 Ack=3249 Win=253 Len=0"
"1364","32.974970","10.5.2.36","10.5.3.255","UDP","86","57621  >  57621 Len=44"
"1365","33.035857","10.5.1.26","92.38.180.109","TCP","55","[TCP Keep-Alive] 49790  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"1366","33.051241","92.38.180.109","10.5.1.26","TCP","66","[TCP Keep-Alive ACK] 443  >  49790 [ACK] Seq=1 Ack=2 Win=501 Len=0 SLE=1 SRE=2"
"1368","33.085995","160.79.104.10","10.5.1.26","TLSv1.2","246","Application Data"
"1369","33.129769","10.5.1.26","160.79.104.10","TCP","54","21410  >  443 [ACK] Seq=20372 Ack=3441 Win=252 Len=0"
"1370","33.169986","10.5.0.129","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"1371","33.169986","10.5.0.129","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"1372","33.202403","79.133.170.5","10.5.1.26","TCP","54","443  >  49707 [FIN, ACK] Seq=1 Ack=1 Win=65535 Len=0"
"1373","33.202403","79.133.170.5","10.5.1.26","TLSv1.2","100","[TCP Retransmission] , Application Data"
"1374","33.202403","79.133.170.5","10.5.1.26","TCP","85","[TCP Retransmission] 443  >  49707 [PSH, ACK] Seq=4294967266 Ack=1 Win=65535 Len=31"
"1375","33.202632","10.5.1.26","79.133.170.5","TCP","54","49707  >  443 [ACK] Seq=1 Ack=4294967220 Win=65274 Len=0"
"1376","33.202787","10.5.1.26","79.133.170.5","TCP","54","49707  >  443 [ACK] Seq=1 Ack=2 Win=65197 Len=0"
"1377","33.203104","10.5.1.26","79.133.170.5","TCP","54","49707  >  443 [RST, ACK] Seq=1 Ack=2 Win=0 Len=0"
"1378","33.299904","79.133.170.5","10.5.1.26","TCP","54","443  >  49707 [RST] Seq=2 Win=0 Len=0"
"1379","33.348268","10.5.1.26","81.19.104.108","TLSv1.2","84","Application Data"
"1381","33.453056","81.19.104.108","10.5.1.26","TCP","54","443  >  49786 [ACK] Seq=1 Ack=31 Win=2460 Len=0"
"1382","33.708778","160.79.104.10","10.5.1.26","TLSv1.2","290","Application Data"
"1383","33.720434","10.5.1.26","160.79.104.10","TLSv1.2","89","Application Data"
"1384","33.732980","160.79.104.10","10.5.1.26","TCP","54","443  >  21410 [ACK] Seq=3677 Ack=20407 Win=1026 Len=0"
"1385","33.988492","10.5.0.108","255.255.255.255","MNDP","189","5678  >  5678 Len=147"
"1386","34.146980","160.79.104.10","10.5.1.26","TLSv1.2","259","Application Data"
"1387","34.201097","10.5.1.26","160.79.104.10","TCP","54","21410  >  443 [ACK] Seq=20407 Ack=3882 Win=250 Len=0"
"1388","34.202053","10.5.0.129","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"1389","34.202053","10.5.0.129","239.255.255.250","SSDP","212","M-SEARCH * HTTP/1.1 "
"1390","34.373264","10.5.1.26","104.18.8.173","TCP","55","60098  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1"
"1391","34.386186","104.18.8.173","10.5.1.26","TCP","66","443  >  60098 [ACK] Seq=1 Ack=2 Win=16 Len=0 SLE=1 SRE=2"
"1392","34.500098","10.5.1.26","192.178.24.78","UDP","1189","56496  >  443 Len=1147"
"1393","34.512557","160.79.104.10","10.5.1.26","TLSv1.2","252","Application Data"
"1394","34.519133","160.79.104.10","10.5.1.26","TLSv1.2","208","Application Data"
"1395","34.519230","10.5.1.26","160.79.104.10","TCP","54","21410  >  443 [ACK] Seq=20407 Ack=4234 Win=255 Len=0"
"1396","34.525429","160.79.104.10","10.5.1.26","TLSv1.2","217","Application Data"
"1397","34.535422","160.79.104.10","10.5.1.26","TLSv1.2","498","Application Data"
"1398","34.535608","10.5.1.26","160.79.104.10","TCP","54","21410  >  443 [ACK] Seq=20407 Ack=4841 Win=253 Len=0"
"1399","34.549124","192.178.24.78","10.5.1.26","UDP","70","443  >  56496 Len=28"
"1400","34.559105","10.5.1.26","172.64.153.110","TCP","55","14981  >  443 [ACK] Seq=1 Ack=1 Win=255 Len=1 [TCP PDU reassembled in 1408]"
"1401","34.570472","192.178.24.78","10.5.1.26","UDP","111","443  >  56496 Len=69"
"1402","34.570472","192.178.24.78","10.5.1.26","UDP","63","443  >  56496 Len=21"
"1403","34.570907","10.5.1.26","192.178.24.78","UDP","77","56496  >  443 Len=35"
"1404","34.573252","172.64.153.110","10.5.1.26","TCP","66","443  >  14981 [ACK] Seq=1 Ack=2 Win=16 Len=0 SLE=1 SRE=2"
"1405","34.606050","10.5.1.26","192.178.24.78","UDP","74","56496  >  443 Len=32"
"1406","34.610889","160.79.104.10","10.5.1.26","TLSv1.2","139","Application Data"
"1407","34.610889","160.79.104.10","10.5.1.26","TLSv1.2","85","Application Data"
"1408","34.613444","10.5.1.26","172.64.153.110","TLSv1.2","344","Ignored Unknown Record"
"1409","34.621692","10.5.1.26","172.64.153.110","TLSv1.2","140","Application Data, Application Data"
"1410","34.621802","192.178.24.78","10.5.1.26","UDP","66","443  >  56496 Len=24"
"1411","34.627709","172.64.153.110","10.5.1.26","TCP","54","443  >  14981 [ACK] Seq=1 Ack=292 Win=16 Len=0"
"1412","34.640533","172.64.153.110","10.5.1.26","TCP","54","443  >  14981 [ACK] Seq=1 Ack=378 Win=16 Len=0"
"1413","34.640533","172.64.153.110","10.5.1.26","TLSv1.2","93","Application Data"
"1414","34.651212","10.5.1.26","160.79.104.10","TCP","54","21410  >  443 [ACK] Seq=20407 Ack=4957 Win=253 Len=0"
"1415","34.682792","10.5.1.26","172.64.153.110","TCP","54","14981  >  443 [ACK] Seq=378 Ack=40 Win=255 Len=0"
"1416","34.823327","10.5.0.240","239.255.255.250","SSDP","481","NOTIFY * HTTP/1.1 "
"1417","34.823327","fe80::2f3a:9e88:e650:d5cd","ff02::c","SSDP","512","NOTIFY * HTTP/1.1 "
"1418","34.823327","10.5.0.240","239.255.255.250","SSDP","481","NOTIFY * HTTP/1.1 "
"1419","34.823327","fe80::2f3a:9e88:e650:d5cd","ff02::c","SSDP","512","NOTIFY * HTTP/1.1 "
"1420","34.823327","10.5.0.240","239.255.255.250","SSDP","481","NOTIFY * HTTP/1.1 "
"1421","34.823327","fe80::2f3a:9e88:e650:d5cd","ff02::c","SSDP","512","NOTIFY * HTTP/1.1 "
"1422","34.927280","10.5.0.240","239.255.255.250","SSDP","490","NOTIFY * HTTP/1.1 "
"1423","34.927280","fe80::2f3a:9e88:e650:d5cd","ff02::c","SSDP","521","NOTIFY * HTTP/1.1 "
"1424","34.927280","10.5.0.240","239.255.255.250","SSDP","490","NOTIFY * HTTP/1.1 "
"1425","34.927280","10.5.0.240","239.255.255.250","SSDP","490","NOTIFY * HTTP/1.1 "
"1426","34.927280","fe80::2f3a:9e88:e650:d5cd","ff02::c","SSDP","521","NOTIFY * HTTP/1.1 "
"1427","34.927280","fe80::2f3a:9e88:e650:d5cd","ff02::c","SSDP","521","NOTIFY * HTTP/1.1 "
"1428","34.975607","10.5.1.26","199.165.136.100","TLSv1.2","375","Application Data"
"1429","35.028228","10.5.0.240","239.255.255.250","SSDP","537","NOTIFY * HTTP/1.1 "
"1430","35.028228","fe80::2f3a:9e88:e650:d5cd","ff02::c","SSDP","568","NOTIFY * HTTP/1.1 "
"1431","35.028228","10.5.0.240","239.255.255.250","SSDP","537","NOTIFY * HTTP/1.1 "
"1432","35.028228","fe80::2f3a:9e88:e650:d5cd","ff02::c","SSDP","568","NOTIFY * HTTP/1.1 "
"1433","35.028228","10.5.0.240","239.255.255.250","SSDP","537","NOTIFY * HTTP/1.1 "
"1434","35.028228","fe80::2f3a:9e88:e650:d5cd","ff02::c","SSDP","568","NOTIFY * HTTP/1.1 "
"1435","35.028228","10.5.0.240","239.255.255.250","SSDP","481","NOTIFY * HTTP/1.1 "
"1436","35.028228","fe80::2f3a:9e88:e650:d5cd","ff02::c","SSDP","512","NOTIFY * HTTP/1.1 "
"1437","35.131498","10.5.0.240","239.255.255.250","SSDP","490","NOTIFY * HTTP/1.1 "
"1438","35.131498","10.5.0.240","239.255.255.250","SSDP","545","NOTIFY * HTTP/1.1 "
"1439","35.131498","10.5.0.240","239.255.255.250","SSDP","545","NOTIFY * HTTP/1.1 "
"1440","35.131498","fe80::2f3a:9e88:e650:d5cd","ff02::c","SSDP","521","NOTIFY * HTTP/1.1 "
"1441","35.131498","fe80::2f3a:9e88:e650:d5cd","ff02::c","SSDP","576","NOTIFY * HTTP/1.1 "
"1442","35.131498","fe80::2f3a:9e88:e650:d5cd","ff02::c","SSDP","576","NOTIFY * HTTP/1.1 "
"1443","35.131498","fe80::2f3a:9e88:e650:d5cd","ff02::c","SSDP","576","NOTIFY * HTTP/1.1 "
"1444","35.131498","10.5.0.240","239.255.255.250","SSDP","545","NOTIFY * HTTP/1.1 "
"1445","35.131498","10.5.0.240","239.255.255.250","SSDP","535","NOTIFY * HTTP/1.1 "
"1446","35.148176","104.18.41.41","10.5.1.26","TLSv1.2","93","Application Data"
"1447","35.150586","10.5.1.26","104.18.41.41","TLSv1.2","89","Application Data"
"1448","35.167385","199.165.136.100","10.5.1.26","TLSv1.2","151","Application Data"
"1449","35.189277","104.18.41.41","10.5.1.26","TCP","54","443  >  21898 [ACK] Seq=5817 Ack=11134 Win=467 Len=0"
"1450","35.212482","10.5.1.26","199.165.136.100","TCP","54","49806  >  443 [ACK] Seq=4248 Ack=1165 Win=255 Len=0"
