"No.","Time","Source","Destination","Protocol","Length","Info"
"69","5.174800","104.18.41.41","10.5.1.26","TCP","54","443  >  21898 [ACK] Seq=2840 Ack=7345 Win=466 Len=0"
"70","5.197358","10.5.1.26","199.165.136.100","TCP","54","49806  >  443 [ACK] Seq=643 Ack=195 Win=253 Len=0"
"72","5.586807","52.146.136.33","10.5.1.26","TLSv1.2","81","Application Data"
"73","5.586807","150.171.109.101","10.5.1.26","TLSv1.2","85","Encrypted Alert"
"74","5.586807","150.171.109.101","10.5.1.26","TCP","54","443  >  32788 [FIN, ACK] Seq=32 Ack=1 Win=133 Len=0"
"75","5.587518","10.5.1.26","150.171.109.101","TCP","54","32788  >  443 [ACK] Seq=1 Ack=33 Win=255 Len=0"
"76","5.587655","10.5.1.26","150.171.109.101","TCP","54","32788  >  443 [FIN, ACK] Seq=1 Ack=33 Win=255 Len=0"
"77","5.632727","10.5.1.26","52.146.136.33","TCP","54","36534  >  443 [ACK] Seq=32 Ack=132 Win=252 Len=0"
"78","5.658261","150.171.109.101","10.5.1.26","TCP","54","443  >  32788 [ACK] Seq=33 Ack=2 Win=133 Len=0"
"79","6.622756","104.18.41.41","10.5.1.26","TLSv1.2","703","Application Data"
"80","6.627230","10.5.1.26","104.18.41.41","TLSv1.2","89","Application Data"
"81","6.640277","104.18.41.41","10.5.1.26","TCP","54","443  >  21898 [ACK] Seq=3489 Ack=7380 Win=466 Len=0"
"84","6.967152","10.5.1.26","192.178.24.78","TCP","1466","45484  >  443 [ACK] Seq=1 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 86]"
"85","6.967152","10.5.1.26","192.178.24.78","TCP","1466","45484  >  443 [ACK] Seq=1413 Ack=1 Win=252 Len=1412 [TCP PDU reassembled in 86]"
"86","6.967152","10.5.1.26","192.178.24.78","TLSv1.2","1198","Application Data"
"87","6.969033","10.5.1.26","192.178.24.78","TLSv1.2","93","Application Data"
"92","7.006857","10.5.1.26","142.251.151.2","TCP","66","43173  >  443 [SYN] Seq=0 Win=65535 Len=0 MSS=1460 WS=256 SACK_PERM"
"96","7.013673","192.178.24.78","10.5.1.26","TCP","54","443  >  45484 [ACK] Seq=1 Ack=3969 Win=9017 Len=0"
"97","7.013673","192.178.24.78","10.5.1.26","TCP","54","443  >  45484 [ACK] Seq=1 Ack=4008 Win=9017 Len=0"
"98","7.014802","192.178.24.78","10.5.1.26","TLSv1.2","93","Application Data"
"99","7.031177","142.251.151.2","10.5.1.26","TCP","66","443  >  43173 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1412 SACK_PERM WS=256"
"100","7.031380","10.5.1.26","142.251.151.2","TCP","54","43173  >  443 [ACK] Seq=1 Ack=1 Win=65280 Len=0"
"101","7.040774","10.5.1.26","142.251.151.2","TLSv1.3","571","Client Hello (SNI=gemini.google.com)"
"102","7.063604","10.5.1.26","192.178.24.78","TCP","54","45484  >  443 [ACK] Seq=4008 Ack=40 Win=252 Len=0"
"103","7.067139","142.251.151.2","10.5.1.26","TCP","54","443  >  43173 [ACK] Seq=1 Ack=518 Win=269312 Len=0"
"104","7.093202","192.178.24.78","10.5.1.26","TLSv1.2","736","Application Data"
"105","7.094062","192.178.24.78","10.5.1.26","TLSv1.2","85","Application Data"
"106","7.094062","192.178.24.78","10.5.1.26","TLSv1.2","93","Application Data"
"107","7.094183","10.5.1.26","192.178.24.78","TCP","54","45484  >  443 [ACK] Seq=4008 Ack=792 Win=255 Len=0"
"108","7.097730","142.251.151.2","10.5.1.26","TLSv1.3","1466","Server Hello, Change Cipher Spec"
"109","7.097730","142.251.151.2","10.5.1.26","TCP","1466","443  >  43173 [PSH, ACK] Seq=1413 Ack=518 Win=269312 Len=1412 [TCP PDU reassembled in 110]"
"110","7.097730","142.251.151.2","10.5.1.26","TLSv1.3","1082","Application Data"
"111","7.104047","10.5.1.26","142.251.151.2","TLSv1.3","118","Change Cipher Spec, Application Data"
"112","7.106113","10.5.1.26","192.178.24.78","TLSv1.2","93","Application Data"
"113","7.128121","142.251.151.2","10.5.1.26","TLSv1.3","668","Application Data, Application Data"
"114","7.135703","192.178.24.78","10.5.1.26","TCP","54","443  >  45484 [ACK] Seq=792 Ack=4047 Win=9017 Len=0"
"115","7.171716","10.5.1.26","142.251.151.2","TCP","54","43173  >  443 [ACK] Seq=582 Ack=4467 Win=64768 Len=0"
"116","7.189099","10.5.1.26","142.251.151.2","TLSv1.3","190","Application Data, Application Data, Application Data"
"117","7.191287","10.5.1.26","185.201.2.21","TLSv1.2","422","Application Data"
"118","7.192336","172.217.22.234","10.5.1.26","TLSv1.2","335","Application Data"
"119","7.198278","10.5.1.26","185.201.2.21","TLSv1.2","235","Application Data"
"120","7.203041","10.5.1.26","172.217.22.234","TLSv1.2","89","Application Data"
"121","7.203129","10.5.1.26","172.217.22.234","TLSv1.2","89","Application Data"
"122","7.205516","10.5.1.26","142.251.151.2","TCP","1466","43173  >  443 [ACK] Seq=718 Ack=4467 Win=64768 Len=1412 [TCP PDU reassembled in 125]"
"123","7.205516","10.5.1.26","142.251.151.2","TCP","1466","43173  >  443 [ACK] Seq=2130 Ack=4467 Win=64768 Len=1412 [TCP PDU reassembled in 125]"
"124","7.205516","10.5.1.26","142.251.151.2","TCP","1466","43173  >  443 [ACK] Seq=3542 Ack=4467 Win=64768 Len=1412 [TCP PDU reassembled in 125]"
"125","7.205516","10.5.1.26","142.251.151.2","TLSv1.3","743","Application Data, Application Data, Application Data"
"126","7.214759","142.251.151.2","10.5.1.26","TLSv1.3","85","Application Data"
"127","7.224051","172.217.22.234","10.5.1.26","TCP","54","443  >  46126 [ACK] Seq=282 Ack=36 Win=618 Len=0"
"128","7.224051","172.217.22.234","10.5.1.26","TCP","54","443  >  46126 [ACK] Seq=282 Ack=71 Win=618 Len=0"
"129","7.229505","142.251.151.2","10.5.1.26","TCP","54","443  >  43173 [ACK] Seq=4498 Ack=4954 Win=265216 Len=0"
"130","7.235678","142.251.151.2","10.5.1.26","TCP","54","443  >  43173 [ACK] Seq=4498 Ack=5643 Win=264704 Len=0"
"131","7.257456","185.201.2.21","10.5.1.26","TLSv1.2","109","Application Data"
"132","7.257456","185.201.2.21","10.5.1.26","TLSv1.2","200","Application Data"
"133","7.257632","10.5.1.26","185.201.2.21","TCP","54","58045  >  443 [ACK] Seq=550 Ack=202 Win=64790 Len=0"
"134","7.259673","185.201.2.21","10.5.1.26","TLSv1.2","182","Application Data"
"135","7.264953","10.5.1.26","142.251.151.2","TCP","54","43173  >  443 [ACK] Seq=5643 Ack=4498 Win=64768 Len=0"
"136","7.265751","185.201.2.21","10.5.1.26","TLSv1.2","109","Application Data"
"137","7.265864","10.5.1.26","185.201.2.21","TCP","54","58045  >  443 [ACK] Seq=550 Ack=385 Win=64607 Len=0"
"138","7.266536","185.201.2.21","10.5.1.26","TLSv1.2","200","Application Data"
"139","7.266536","185.201.2.21","10.5.1.26","TLSv1.2","190","Application Data"
"140","7.266660","10.5.1.26","185.201.2.21","TCP","54","58045  >  443 [ACK] Seq=550 Ack=667 Win=64325 Len=0"
"141","7.358640","10.5.1.26","142.251.127.84","TCP","55","20117  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1"
"142","7.421660","142.251.127.84","10.5.1.26","TCP","66","443  >  20117 [ACK] Seq=1 Ack=2 Win=976 Len=0 SLE=1 SRE=2"
"143","7.534440","142.251.151.2","10.5.1.26","TLSv1.3","1466","Application Data"
"144","7.535328","142.251.151.2","10.5.1.26","TLSv1.3","390","Application Data"
"145","7.535328","142.251.151.2","10.5.1.26","TLSv1.3","373","Application Data"
"146","7.535328","142.251.151.2","10.5.1.26","TLSv1.3","357","Application Data"
"147","7.535328","142.251.151.2","10.5.1.26","TLSv1.3","85","Application Data"
"148","7.535328","142.251.151.2","10.5.1.26","TLSv1.3","93","Application Data"
"149","7.535501","10.5.1.26","142.251.151.2","TCP","54","43173  >  443 [ACK] Seq=5643 Ack=6938 Win=65280 Len=0"
